Species;Status
Dajaus monticola;NR
Algansea aphanea;E
Algansea monticola;E
Algansea tincella;NR
Allodontichthys hubbsi;E
Allodontichthys polylepis;E
Allodontichthys zonistius;NR
Alloophorus robustus;NR
Allotoca catarinae;NR
Allotoca diazi;NR
Allotoca dugesii;NR
Allotoca goslinei;E
Allotoca maculata;NR
Amatitlania nigrofasciata;IB
Astatotilapia burtoni;IB
Astyanax aeneus;NR
Astyanax mexicanus;NR
Ataeniobius toweri;NR
Chapalichthys encaustus;NR
Chapalichthys pardalis;NR
Characodon lateralis;NR
Chirostoma aculeatum;E
Chirostoma arge;E
Chirostoma chapalae;E
Chirostoma riojai;NR
Cichlasoma istlanum;NR
Cyprinodon meeki;NR
Cyprinus carpio;IA
Gambusia senilis;NR
Gambusia yucatana;IB
Girardinichthys multiradiatus;NR
Girardinichthys viviparus;NR
Gobiesox fluviatilis;E
Goodea atripinnis;NR
Hubbsina turneri;NR
Ictalurus dugesii;E
Ilyodon furcidens;NR
Ilyodon whitei;NR
Lepomis macrochirus;IA
Mayaheros beani;E
Micropterus salmoides;IA
Nosferatu bartoni;NR
Nosferatu labridens;E
Notropis amecae;E
Notropis calientis;NR
Oreochromis aureus;IA
Oreochromis mossambicus;IA
Oreochromis niloticus;IA
Poecilia butleri;NR
Poecilia mexicana;IB
Poecilia reticulata;IB
Poecilia sphenops;NR
Poeciliopsis balsas;E
Poeciliopsis gracilis;IB
Poeciliopsis infans;NR
Poeciliopsis turrubarensis;NR
Poeciliopsis viriosa;E
Pomoxis nigromaculatus;IA
Pseudoxiphophorus bimaculatus;IB
Skiffia bilineata;NR
Tampichthys dichroma;NR
Tampichthys mandibularis;E
Xenoophorus captivus;NR
Xenotoca eiseni;NR
Xenotoca melanosoma;NR
Xenotoca variata;NR
Xiphophorus hellerii;IB
Xiphophorus maculatus;IB
Yuriria alta;E
Zoogoneticus quitzeoensis;NR
Algansea popoche;E
Allodontichthys tamazulae;NR
Allotoca zacapuensis;E
Atherinella balsana;E
Aztecula sallaei;E
Characodon audax;NR
Chirostoma charari;E
Chirostoma consocium;E
Chirostoma humboldtianum;E
Chirostoma jordani;NR
Chirostoma labarcae;E
Ictalurus mexicanus;E
Moxostoma austrinum;NR
Notropis boucardi;E
Poecilia chica;E
Poeciliopsis baenschi;NR
Poeciliopsis turneri;NR
Pseudoxiphophorus jonesii;IB
Sicydium multipunctatum;NR
Skiffia lermae;NR
Xenotaenia resolanae;NR
Xiphophorus variatus;IB
Yuriria chapalae;E
Oreochromis sp;IA
Astyanax sp;NR
Poecilia sp;IB
Poeciliopsis sp;IB
Pseudoxiphophorus sp;IB
Chirostoma sp;NR
Gila sp;NR
